Tipo,Category,Question,File,Page,Extract
factual,Definición,¿Qué partida de la TIGIE clasifica la cerveza de malta?,06012025-MAT.md,119,2203.00.01 Cerveza de malta.
procedimiento,Normatividad,¿Qué debe hacer un transportista para ir de Ojinaga a Belice?,06012025-MAT.md,112,"Para efectuar el recorrido de Ojinaga a Belice, el transportista deberá utilizar las carreteras federales 18, 45D, 49D, 49, 40D, 40, 57D, M40D, 150D, 145D, 180D, 180 y 186."
factual,Normatividad,¿Cuál artículo constitucional fundamenta las expropiaciones?,06012025-MAT.md,293,El artículo 27 de la Constitución Política de los Estados Unidos Mexicanos establece que Las expropiaciones sólo podrán hacerse por causa de utilidad pública y mediante indemnización
procedimiento,Normatividad,¿Ante qué oficialía de partes se debe presentar el escrito libre para el acceso al sistema?,06012025-MAT.md,208,"las empresas deberán otorgar a la autoridad, mediante escrito libre presentado ante la oficialía de partes de la AGACE, el usuario y contraseña para que la autoridad pueda ingresar al sistema"
factual,Fechas,¿Cuáles son las fechas de inicio y fin del primer periodo de sesiones del Consejo de Carrera en 2025?,06012025-MAT.md,334,El primer periodo iniciará el 15 de enero y terminará el 11 de julio
procedimiento,Salud,"Según el convenio con Chiapas, ¿qué debe hacer el Estado para acceder a los recursos federales?",06012025-MAT.md,338,"Cubrir de manera puntual la Aportación Solidaria Estatal, como condición para el acceso del  GOBIERNO DEL ESTADO  a los recursos federales"
factual,Procedimiento,¿En qué piso del edificio A de la ASF se celebrarán las audiencias iniciales?,06012025-MAT.md,409,"ubicadas en el sexto piso del edificio ""A"" situado en Carretera Picacho Ajusco número 167"
factual,Fechas,¿Qué día de marzo de 2025 se celebrará la audiencia de Felipe Loaeza Ponce?,06012025-MAT.md,409,DIEZ (10) DE MARZO DE DOS MIL VEINTICINCO (2025)
factual,Horarios Aduanas,¿Cuál es el horario de importación de la aduana de Aguascalientes?,06012025-MAT.md,4,Importación y Exportación. De lunes a viernes de 9:00 a 21:00<br>horas.
factual,Avisos RFC,¿Qué aviso deben presentar los recintos fiscalizados concesionados?,06012025-MAT.md,17,los recintos fiscalizados concesionados deberán presentar el aviso de apertura o cierre correspondiente
factual,Normatividad,"¿Qué sustancias requieren autorización para su tránsito, según el fragmento?",06012025-MAT.md,113,"Plaguicidas, fertilizantes y sustancias tóxicas"
procedimiento,Procedimiento,¿Cómo deben recorrer los transportistas desde Colombia?,06012025-MAT.md,111,"Los transportistas provenientes de la aduana de Colombia, deberán utilizar la carretera fronteriza número 2 hasta entroncar con la carretera federal 97 de Reynosa"
factual,Normatividad,¿Cuál es el recorrido en kilómetros del Proyecto Tren Maya?,06012025-MAT.md,293,Tendrá un recorrido de mil 525 kilómetros
factual,Normatividad,¿Cuál es la exactitud requerida para instrumentos de medición eléctrica?,06012025-MAT.md,237,"Los instrumentos utilizados para la medición de la entrada de energía o potencia eléctrica para calentadores u otros aparatos que suministren cargas de calor deben tener una exactitud de ± 1.0 % de la cifra medida. Los instrumentos utilizados para la medición de la entrada de energía o potencia eléctrica a los motores del ventilador, del compresor u otro equipo accesorio deben tener una exactitud de ± 2.0 % del valor indicado."
factual,Procedimiento,¿Cómo se debe notificar a los titulares de bienes expropiados si se ignora su domicilio?,06012025-MAT.md,301,"En caso de ignorarse quiénes son los titulares o bien se desconozca su domicilio o localización, efectúese una segunda publicación en el Diario Oficial de la Federación, conforme a lo establecido en el artículo 2o. fracción II de la Ley de Expropiación."
factual,Fechas,¿Hasta qué fecha estará vigente el Convenio Marco de Coordinación para Chiapas y Palenque?,06012025-MAT.md,308,El presente Convenio Marco de Coordinación estará vigente a partir del día de su firma y hasta el 31 de diciembre de 2024.
factual,Fechas,¿En qué fecha deberá comparecer Felipe Loaeza Ponce a la audiencia inicial?,06012025-MAT.md,409,DIEZ (10) DE MARZO DE DOS MIL VEINTICINCO (2025)
procedimiento,Notificaciones,¿Qué ocurre con las notificaciones si los presuntos responsables no señalan domicilio en la Ciudad de México?,06012025-MAT.md,409,se llevarán a cabo a través de rotulón que se fijará en los estrados de la Auditoría Superior de la Federación.
,,Voy a importar un caballo. Está vivo o muerto (comida?). Si está vivo lo vas a usar para fines recreativos? pie de cría agricultura? disecarlo?,,,

,,Una guitarra acústica tiene su fracción arancelaria. Las electrónicas tienen otra. Las acústicas pagan aranceles. Las guitarras electroacústicas entran en un área gris que no está codificada en la ley.,,,
